score,text
0,I think computers are good because you can talk to your friends and family on the computers. People needs computers to look for a job. Some people spend to much time on the computers then on homework people need to stop.
0,"Being active has no limit, but technology does."
0,Computers are good because people can find what they need and their fun ask things find places get things for a good price.
0,I think that computers are amazing. Computers are an amazing way to meat new pol online.
0,"Dear editor, computers are good for people because it really helps with they work and home work and other stuff."
0,"What compters stop you from doing is your homework in school. But when you do something on the computer your not soposes to do, you get stuck on a website you can't get off your screen. So what I'm trying to say is to don't stay on the computer than just @NUM1 min."
0,In my opinion i think that computers help people. It helps them with imformation that they @MONTH1 need. It can also help learn a lot of things.
0,Computer can be used for anyting but sometimes people use it for illeagle things like music some music site are a illeagle and sometimes thing off the internet. People meet over the internet can be sometimes dangerous because some people lye about there age or put fake pictures of them.
0,The computers are cool. Do you now I werpsite is @NUM1.com. We nede to time the lemt lo-menteno it. I love the compueters. We nede @NUM2 make a computers are grene compurers.
0,"Dear readers, I think that its good and bad to use the computer to much"
0,"Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain should be removed i think so be no that yes i think should no person that in chager the book, music, movies, magazines, ect., that be no agure      why do i think if you need that please  think i no thank you please if  i need why do we if know that if i failure the this test i who need to graduate please the children allow to home please yes.          Why do we need to be a prafece person please why do we need to do this why write this assgiment because you mean to be the best teaches ever and ever facebook is my password is @PERSON1  @NUM1 that why i need my myspace is the same thingh but different at same time please know that i need to know i really  i need to my e-mail address is  @EMAIL1 that is my e-mail please work m"
0,"If the people that are publishing and writing these articles in these magazines then yes, they can feel offensive about the @CAPS7 things inside the magazine or books. These people are going to always find something or some rumor to start a big fight about these @CAPS1 things, those people are called '@CAPS2'. They can find A eazy way to get something started just like that, That's why before i buy A magazine, I take A look inside of first And see If @CAPS3 interested in buying that specific certain book, or magazine. If I don't like the things that I see inside of @CAPS5, then I @CAPS4 not buy @CAPS5, @CAPS5's @CAPS1 As that. If they are @CAPS7, they should immediately be removed from the news stands on the streets of @LOCATION1, @LOCATION6, @LOCATION12, @LOCATION4, @LOCATION2, @LOCATION5, @LOCATION8, @LOCATION9, @LOCATION3, @LOCATION10, @ORGANIZATION1, @ORGANIZATION2, Or @CAPS8 @LOCATION11, @LOCATION7."
0,"I do think that there should be a censorship in not just in libaries, but everywhare.       Personlly, I think that the way that the libraries have the books are appropite and if the parents do not want thier children going any where  that is not privy to them keep a hand lenght away     As for the parents, the parents know the aera that intrest them ,therefor the parents should go there"
0,"I belive that they need to keep every thing and gain more. Their is so much to luearn about. The more information you have the better. I for one think that they need to put more magazines on the stands so you can have more information. Thow you can not trust every thing in one, You can still find many facts about what your wanting to learn about. On the other hand, Children should not be able to reach or see some of this. I could teach our children stuff that they are not yet ready to learn about. The fact is they need to have people watching the stuff so kids wont get in it and we can still lurean and find out new things. Not everything should be hidden. The more you know could just save the world."
0,"Hi my name is @CAPS1 @CAPS2 @PERSON1 and I'm here to talk about why I thing we should have these certain materials in the libraries.                       Why I think these materials should stay well because,  For @CAPS3 lets say its a certain movie or song or book or whatever just that one thing you were looking for, for ages and you couldn't find it in any other store and you just happening to go to the library just to look. Even though  you know its not there, but you just looking and you end up finding whatever it is you where looking for.             And what if you wanted to look for a myster book and only the library had that book you where looking for. I can think of alot of reasons why we need certain materials. well i guess that about sums that up for me.                 And in concultion put yourself in the same shoes or even my shoes. What would you do? would you let them remove those materials or would you fight for them to stay."
0,"The way i see it movies or books shouldnt be taken off the shelf .becouse it should be up to ower own right to take a movie or to tonot take the movie .Also music such as country or sad music ant like movies or books how can u take music of the radio u canot do it .Becouse it dnt matter what u do with the radio shut it off turn it down or change the chanel with the way the world is now days there will all ways be things on the radio that u wont wanna hear and there will be things that u do wanna hear ,thats my opinion about movies and music      Also if there was any way to keep movies away i would probaly have it done there are goood movies and there are bad but one movie that is afensive and shy is (shylo) about the old man hittin the dog and stuff thats verry afensive to some one that was raised around beetings."
0,yes i thinck they should take efence books off the shelf because little likd read the books then they will probley be tought rong from right. And if the books had vilance then they will thinck tkat is right to.
0,"No because the writer is explain th way the story really happend.If ur kid ask u the word tell him/her it not a good word to say, r u can take the book back and get him/her a new one.          Say him/her kids comes home from school and say a couse word and u asked him/her were they learned it from. An they said the teacher said it. U can tell the teacher u dont wounting ur him/her reading that book.                                                                Cousing is a way of explain the story better to them i guess."
0,"Dear @CAPS1-@CAPS2 @CAPS3 it @MONTH1 concerm;             I'm writing you to explain that @MONTH1 students are tired of students in their school not returning books to their schoollibrary. Many students have report due on a book that a fellow classmate didn't return. Many students either forget they have a book out or even past due. So it makes it hard upon the student who is trying to do a report. If the books, music, magazines and etc., are not return people should have to be punished more than just having to pay a overdue fee.     I have witnesses alot of students who didn't either want to turn in the book thr checked out. We the junior class at my high school had a term paper that we need books, newspaper, internet and magazines. Lucky, The senior class turned in all of their book, newspaper, internet, magazines and etc., that they used on their term papers, we the junior class were able to sucess on our term paper. But many juniors still havent reutrn the materials they have used.The teachers have threqten them with overdue fees and or have to pay for the losted material. I see that having to pay an overdue fee and or have to pay for the losted materials doesn't bother them.      Even though teachers makes them pay the future classes will have to struggle and go out and purchase books, magazines, and etc., The classes that have to take @CAPS4 @NUM1 next year and do their term paper @MONTH1 not be able to sucess. It is unfair they have to worry will have the materials they need for them to sucess and do their term paper.      I think if the schools took time out and got parnets involed. They would n't have as many students would didn't follow rules. students think that their teachers can't tell them what to so maybe if their parnets were involes they would follow directions and turn in their books, magazines and etc.,     In conclusion, If someone wants to take a book they should get alot of their personal infornmation as well as their school name.If people dont return their books their want be any thing left for other people to use.So i say everybody do have the right to use the books, music, movies magazine and etc. to their adventage. Just try to remember to return them for other students as well."
